21:22:57.424 [main] INFO  c.browserstack.BrowserStackJavaAgent - Starting BrowserStack Local......
21:23:09.077 [Thread-0] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/9efsuqo5fa17qdti7sjjqkdgqfshem0tmz9jznkr to view build report, insights, and many more debugging information all at one place!

21:24:37.954 [main] INFO  c.browserstack.BrowserStackJavaAgent - Selenium version detected - 
21:24:37.956 [main] INFO  c.browserstack.BrowserStackJavaAgent - Appium version detected - 9.0.0
21:24:38.173 [main] INFO  c.browserstack.utils.UtilityMethods - BrowserStack Yml Detected : /Users/mainakmukherjee/git/BrowserStack_POC_SNB_JavaOnly/BrowserStack_POC_JavaOnly/browserstack.yml
21:24:38.424 [main] WARN  c.b.config.BrowserStackConfig - Framework Detected Mismatch, Framework Detected - java but Framework provided in browserstack.yml - testng
21:24:38.424 [main] INFO  c.b.config.BrowserStackConfig - Setting value of testObservability as specified in your browserstack.yml to true
21:24:38.834 [main] INFO  c.browserstack.BrowserStackJavaAgent - Using app: [bs://4c232d3347c3b3cb1c05663d9cc1004130a70a4c]
21:24:38.835 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
21:24:43.538 [main] INFO  c.browserstack.BrowserStackJavaAgent - Starting BrowserStack Local......
21:25:30.322 [Thread-0] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/syx4zllfpxjptjq0sgaceqknsf2dck6br4lm8qfa to view build report, insights, and many more debugging information all at one place!

21:25:30.877 [Thread-0] INFO  c.browserstack.utils.UtilityMethods - View build on BrowserStack dashboard: https://app-automate.browserstack.com/dashboard/v2/builds/31c27c9c32f007cdb5e0f82844ac2e7cee76537e
21:25:30.878 [Thread-0] INFO  c.b.config.BrowserStackConfig - INFO
21:48:02.835 [main] INFO  c.browserstack.BrowserStackJavaAgent - Selenium version detected - 
21:48:02.837 [main] INFO  c.browserstack.BrowserStackJavaAgent - Appium version detected - 9.0.0
21:48:03.083 [main] INFO  c.browserstack.utils.UtilityMethods - BrowserStack Yml Detected : /Users/mainakmukherjee/git/BrowserStack_POC_SNB_JavaOnly/BrowserStack_POC_JavaOnly/browserstack.yml
21:48:03.360 [main] WARN  c.b.config.BrowserStackConfig - Framework Detected Mismatch, Framework Detected - java but Framework provided in browserstack.yml - testng
21:48:03.360 [main] INFO  c.b.config.BrowserStackConfig - Setting value of testObservability as specified in your browserstack.yml to true
21:48:04.123 [main] INFO  c.browserstack.BrowserStackJavaAgent - Using app: [bs://4c232d3347c3b3cb1c05663d9cc1004130a70a4c]
21:48:04.123 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
21:48:09.008 [main] INFO  c.browserstack.BrowserStackJavaAgent - Starting BrowserStack Local......
21:48:54.125 [Thread-0] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/kr4iq9giruyd6ehyowrljl8l7gtlrt5bsinexrxj to view build report, insights, and many more debugging information all at one place!

21:48:55.482 [Thread-0] INFO  c.browserstack.utils.UtilityMethods - View build on BrowserStack dashboard: https://app-automate.browserstack.com/dashboard/v2/builds/15a9d74c89747a91364cc998820a032397d8b250
21:48:55.485 [Thread-0] INFO  c.b.config.BrowserStackConfig - INFO
21:54:12.426 [main] INFO  c.browserstack.BrowserStackJavaAgent - Selenium version detected - 
21:54:12.429 [main] INFO  c.browserstack.BrowserStackJavaAgent - Appium version detected - 9.0.0
21:54:12.670 [main] INFO  c.browserstack.utils.UtilityMethods - BrowserStack Yml Detected : /Users/mainakmukherjee/git/BrowserStack_POC_SNB_JavaOnly/BrowserStack_POC_JavaOnly/browserstack.yml
21:54:12.952 [main] WARN  c.b.config.BrowserStackConfig - Framework Detected Mismatch, Framework Detected - java but Framework provided in browserstack.yml - testng
21:54:12.952 [main] INFO  c.b.config.BrowserStackConfig - Setting value of testObservability as specified in your browserstack.yml to true
21:54:13.520 [main] INFO  c.browserstack.BrowserStackJavaAgent - Using app: [bs://4c232d3347c3b3cb1c05663d9cc1004130a70a4c]
21:54:13.520 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
21:54:18.001 [main] INFO  c.browserstack.BrowserStackJavaAgent - Starting BrowserStack Local......
21:55:05.811 [Thread-0] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/pf6jtqno3hvjo3ybajkrjlqufyrfnocgy65t8vml to view build report, insights, and many more debugging information all at one place!

21:55:06.404 [Thread-0] INFO  c.browserstack.utils.UtilityMethods - View build on BrowserStack dashboard: https://app-automate.browserstack.com/dashboard/v2/builds/3fd77b950444afc5a7e7302235ec611844332174
21:55:06.405 [Thread-0] INFO  c.b.config.BrowserStackConfig - INFO
21:55:42.656 [main] INFO  c.browserstack.BrowserStackJavaAgent - Selenium version detected - 
21:55:42.658 [main] INFO  c.browserstack.BrowserStackJavaAgent - Appium version detected - 9.0.0
21:55:42.894 [main] INFO  c.browserstack.utils.UtilityMethods - BrowserStack Yml Detected : /Users/mainakmukherjee/git/BrowserStack_POC_SNB_JavaOnly/BrowserStack_POC_JavaOnly/browserstack.yml
21:55:43.232 [main] WARN  c.b.config.BrowserStackConfig - Framework Detected Mismatch, Framework Detected - java but Framework provided in browserstack.yml - testng
21:55:43.232 [main] INFO  c.b.config.BrowserStackConfig - Setting value of testObservability as specified in your browserstack.yml to true
21:55:43.636 [main] INFO  c.browserstack.BrowserStackJavaAgent - Using app: [bs://4c232d3347c3b3cb1c05663d9cc1004130a70a4c]
21:55:43.637 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
21:55:48.000 [main] INFO  c.browserstack.BrowserStackJavaAgent - Starting BrowserStack Local......
21:56:34.936 [Thread-0] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/sjlxckvp5l1znizcf5whmzgyk1dlowa1wikpsjwk to view build report, insights, and many more debugging information all at one place!

21:56:35.506 [Thread-0] INFO  c.browserstack.utils.UtilityMethods - View build on BrowserStack dashboard: https://app-automate.browserstack.com/dashboard/v2/builds/3a4f92aea577311d67311a847f74a2fe3cd5cad8
21:56:35.507 [Thread-0] INFO  c.b.config.BrowserStackConfig - INFO
16:57:27.480 [main] INFO  c.browserstack.BrowserStackJavaAgent - Selenium version detected - 
16:57:27.483 [main] INFO  c.browserstack.BrowserStackJavaAgent - Appium version detected - 9.0.0
16:57:27.718 [main] INFO  c.browserstack.utils.UtilityMethods - BrowserStack Yml Detected : /Users/mainakmukherjee/git/BrowserStack_POC_SNB_JavaOnly/BrowserStack_POC_JavaOnly/browserstack.yml
16:57:27.996 [main] WARN  c.b.config.BrowserStackConfig - Framework Detected Mismatch, Framework Detected - java but Framework provided in browserstack.yml - testng
16:57:27.997 [main] INFO  c.b.config.BrowserStackConfig - Setting value of testObservability as specified in your browserstack.yml to true
16:57:28.607 [main] INFO  c.browserstack.BrowserStackJavaAgent - Using app: [bs://4c232d3347c3b3cb1c05663d9cc1004130a70a4c]
